Name,Slug,Role,Bio,Instagram,Mixcloud,Active
DJ SpinFX,dj-spinfx,Resident · Founder,Melbourne. Founded Counterculture and runs the show on Kiss FM.,,https://www.mixcloud.com/KissFM/,yes
Pacenotes,pacenotes,Resident,,,,yes
Ageusic,ageusic,Resident,,,,yes
Erney D,erney-d,Resident,"New Zealand, now Melbourne based.",,,yes
Subz,subz,Resident,"New Zealand, now Melbourne based.",,,yes
MC Manaki,mc-manaki,Resident MC,"UK, now Melbourne based.",,,yes
MC Wasp,mc-wasp,Resident MC,,,,yes
Zero1,zero1,Resident,"UK, now Melbourne based.",,,yes
Jangala,jangala,Resident,Melbourne based. One of the leading women in drum and bass.,,,yes
